Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Cyclically-adjusted balance, % of potential GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",,,,,,,,-11.21703624767731,-10.17657298918513,-10.71837115359614,-8.955730742442977,-7.896768971230806,-6.403594706288811,-4.837452717777925,-4.728946197811442,-2.92728781168692,-2.840230801198221,-3.02890581083108,-5.555687131446987,-7.110908133122674,-4.135669781961212,-3.936195924451614,-3.52461896899802,-4.91271350551699,-4.974159658178039,-3.798222197813228,-1.229288022610017,-1.421120409289937,-1.956903226483895,-2.071033702163156,-5.185673009171961,-4.527070190712152,-3.70509145498951,-0.9711235106214318
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",3.182396145800169,1.810053588544978,-1.02847552063723,-6.911320381940509,-2.628177349210631,-0.4670483139909045,2.995857387449483,2.837053061206124,-3.326573085384918,-1.567012405630372,9.145649428099697,3.697945416510692,0.4667913764914289,6.745670074046757,5.873171875687511,10.48457807101924,12.44097089779562,4.179198432384609,7.650949861398601,-6.050824526880533,-1.047686317194398,-0.767603024230155,-3.947268210756278,-0.7406686914198204,-7.504715866145624,-14.77363707478072,-12.99142420523538,-8.450870464099683,-6.851645895476043,-9.042139391233697,-8.905987166315906,-5.547947416489862,-2.179536560749678,-2.800434479590255
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",,,,,,,6.264330525270275,-1.191488550932917,-7.503756896966852,-10.7590877541319,2.168471739206289,3.399369436612304,-2.941458706818896,-2.936965063757963,2.657497081182115,7.537269262119704,9.156969091785331,2.279542455520989,-8.185325227538215,-8.470854988578338,3.269631899936897,8.545512798329113,3.382190746633519,-1.416898673066186,-7.390819782180007,-4.024384210629712,-4.765223558558151,-6.722184871695898,2.414854035009103,1.000906592548272,-0.5281706127427057,4.926125508877451,1.377295817427875,0.3701818757721114
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",-1.652768403540101,-1.494246825216742,-1.98982480181655,-0.738381528619513,-2.47533980525527,-2.101759717367162,-3.393692970256168,-3.475287911476229,-3.761228295851812,-4.546114124083442,-3.71336983371101,-4.334358789261916,1.128338305360423,3.366835561477693,5.552427621567126,3.94007174250487,1.340356230148316,-0.8170404045724347,-1.266877571124059,-0.8623406208616018,-2.442516274995977,-4.75018652304616,-4.026225057743773,-4.525382024857308,-4.312964839620314,-6.816723365398516,-6.607194217268159,-7.532608159043889,-5.240734518714298,-3.624280518254544,-4.08938938070753,-3.09358399627282,-3.516019284348616,-3.990215573164967
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",,,,,,,,,,,,,,,,-2.936396296971957,-3.67850251340899,-5.439352322788128,-4.841436692873213,-6.433045925578838,-3.498190155145764,-1.757962954083883,-1.226133554864177,-1.353316715756218,-1.827587831627472,-4.758412945547732,-4.970480817986793,-5.171516444613104,-2.570350459761514,-2.800457015807034,-4.65106067456697,-4.385841122253691,-3.471817646692848,-3.313995875088427
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Cyclically-adjusted balance, % of potential GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
