Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,External and private sector debt,"Total external debt stocks, % of reserves",,,,,,,,,,,,,,,,,,,70.47200355665774,58.14061886577375,47.183977447535,39.17212447827908,36.08101362297052,35.50391296146837,33.60361966442921,37.22129660580259,35.65067268824301,33.98655244751174,32.64121102165333,31.32259084861203,31.18359882717152,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Total external debt stocks, % of reserves",,,,472.0647380071053,394.962194044033,172.9612123796598,152.142760287274,150.828889687773,149.2129157510623,147.7871842278259,173.6099904600217,149.7972844625684,136.2327152699357,149.320194725425,115.5508211255059,147.6923007765052,138.8513502962413,137.2197653947805,180.0877229795222,194.3974474700812,213.9815304978592,262.368987080272,284.0332049387299,311.7987371677139,319.3907335133085,269.1412614797817,273.956239509931,273.1287728363616,247.8730593516922,246.423497862985,217.4906842879909,196.1976714689212,198.5201165037883,174.3811728666733
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,External and private sector debt,"Total external debt stocks, % of reserves",1041.397383004934,823.4167528646772,824.4493186971857,718.7376610669568,628.2216495505916,793.6200208835993,534.4483819879675,319.61522895733,363.0615248031734,458.886460982678,187.8239314988274,115.9130176038871,91.59876723542934,67.04269310710805,49.05875110392628,28.87080099345226,7.241697127727574,5.332053784160411,4.213774998098692,4.77996355709411,4.254911243647057,3.163377318620272,2.749777764685337,2.604098063911626,2.962796599907414,3.101954901779923,4.52279843831991,5.442708479028737,6.535021024053688,7.649984496070531,8.711922762358174,13.12692971835195,9.922101782124596,8.814010507853034
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,External and private sector debt,"Total external debt stocks, % of reserves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,External and private sector debt,"Total external debt stocks, % of reserves",,,,,,5037.342855289248,1897.783818626291,2534.499891942186,5326.979355825923,2172.006054694617,814.8359826863813,1199.251615633831,2428.207975946024,1437.181723676469,710.4431084373412,382.8258764578603,121.5496892472745,106.6537112155238,87.27779094430008,148.3982405929024,136.1656253420792,128.2539167885555,116.0566732229718,137.6158367451219,169.886614945273,205.0038613349499,242.6226415949727,336.5498630013544,400.9725163697238,381.345071179549,474.4410064861387,456.7744872659978,440.1889703945341,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Total external debt stocks, % of reserves",,,,,,,,,,,,,,,,,,,,335.8467520059426,349.8458676718274,311.0123332755234,274.745112964471,289.1163606848292,191.4348046510697,170.687948862347,176.2121686254837,193.3270273847919,193.0655966952107,237.9795354079452,308.1610158710242,212.7663424241584,201.4132950830951,214.3881786800955
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,External and private sector debt,"Total external debt stocks, % of reserves",1004.133654990732,880.0265718048951,599.3312852306218,417.3145844009969,469.2421084474164,618.1257748665761,563.6462732155961,571.9229831889229,569.303082907086,576.5193858848971,596.6214562737491,1048.740174650626,1413.593093223103,1154.477700913553,854.542848612449,465.7424658784476,371.3700882051774,261.7973156760297,279.7264661889627,278.4909552717127,242.5749485993535,308.8342607589196,323.6165502310702,491.9939173253774,489.6204395217529,694.2816486835956,472.8381750518519,408.438485436782,419.5421159440503,625.4038397387283,648.5632523863221,621.1474902419403,552.916522971341,1109.903860135917
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Total external debt stocks, % of reserves",,,,985.6725423900823,593.5749932636046,333.3776846037777,309.4761467297026,266.8964710662555,274.3327488736174,336.9213460988017,324.130202160259,427.8775098490025,398.9911205731315,397.6538214731482,384.8252740858933,294.231880401577,199.5379845808961,185.7605123201806,256.7876015441329,246.3017366563988,338.036688621028,383.4877126670197,424.6234980855685,385.5503131884179,574.4197029422957,497.4400712822197,447.146705034424,441.9962004407599,474.7322822077233,417.0515058988576,481.7370721731164,427.3115072975505,357.8861759069651,413.4187266119315
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Total external debt stocks, % of reserves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,External and private sector debt,"Total external debt stocks, % of reserves",,,,,,,,,,,,,,1261.963298726693,1372.471452506814,1232.20578951712,1301.854748830672,3244.553237075447,2479.387882324362,2509.604894644598,2806.252354530741,2831.892840305827,2959.920043050599,2670.001646733986,2634.257947040491,3151.599938587671,2714.352567227847,2396.220602720631,2817.914687475191,2669.481669950939,3943.160591084366,2797.550343384212,2637.467689695902,2619.891428122929
